"","3"
"Chl_a_Holm-Hansen_F",0
"Chl_Fluor_Voltage",0
"conductivity_CTD",0
"HPLC_ACAROT",0
"HPLC_ALLOX",0
"HPLC_ASTAX",0
"HPLC_BCAROT",0
"HPLC_BUT19",0
"HPLC_BUTLIKE",0
"HPLC_CHLA",0
"HPLC_CHLB",0
"HPLC_CHLC12",0
"HPLC_CHLC3",0
"HPLC_CHLIDEA",0
"HPLC_DIADINOX",0
"HPLC_DIATOX",0
"HPLC_FUCOX",0
"HPLC_HEX19",0
"HPLC_HEXLIKE",0
"HPLC_HEXLIKE2",0
"HPLC_PERID",0
"HPLC_PHAEO",0
"HPLC_PRASINOX",0
"HPLC_PYROPHAE",0
"HPLC_VIOLAX",0
"HPLC_ZEA",0
"NO2NO3_Tech_F",1
"O2_CTD_mLL",0
"O2_Electrode_mll",0
"Phaeo_Holm-HansenF",0
"PO4_Tech_F",1
"POC_CHN_mg/m3",0
"PON_CHN_mg/m3",0
"Pressure",0
"Salinity_CTD",0
"SiO4_Tech_F",1
"Temp_CTD_1968",0
